source,label,mean_velocity,max_velocity,std_velocity,mean_acceleration,max_acceleration,std_acceleration,mean_jerk,max_jerk,std_jerk,range_x_right_wrist,range_y_right_wrist,range_x_left_ankle,range_y_left_ankle,range_x_right_ankle,range_y_right_ankle
2025-05-18_21-51-32_punch_002,punch,1.2111811397565424,3.223022415319467,0.7315596876518038,15.794972206037743,40.06760560841424,8.582011827684804,261.4856092037325,712.7601609643933,147.93644479759644,0.040939539670944214,0.1352335810661316,0.01284801959991455,0.014960765838623047,0.05042886734008789,0.10257041454315186
2025-05-18_21-51-32_punch_010,punch,1.775660558645535,7.552522507977048,1.6230535587052504,22.25960423726369,122.88442126170723,22.235094531230413,352.5485123269175,2003.9019096620189,385.1147579170002,0.011222690343856812,0.09861606359481812,0.046710819005966187,0.06978052854537964,0.012323498725891113,0.012475967407226562
2025-05-18_21-51-32_punch_004,punch,0.8960628576405328,2.4347597612068426,0.5593677119540179,12.200758385253252,35.891934037421095,7.996277989911703,205.8542825221224,638.7670270897014,150.78264891512225,0.003438040614128113,0.0173376202583313,0.04034945368766785,0.03824937343597412,0.015409797430038452,0.012074410915374756
2025-05-18_21-51-32_float_007,float,1.6133736678440633,5.602600934465865,1.020791470697,23.12504904455635,98.61777069817926,16.683490500328247,400.13832740704146,1556.8583395243118,292.9221292063892,0.10845986008644104,0.22609543800354004,0.0038475990295410156,0.010687649250030518,0.12944082915782928,0.17415499687194824
2025-05-18_21-51-32_float_010,float,2.016656800808005,8.361322762102963,1.583380791713064,27.94120252737087,104.55020607938344,21.153346705823992,467.01758141951757,1729.5468051438215,347.9335886737456,0.0962165892124176,0.19815242290496826,0.01195216178894043,0.01605367660522461,0.07095266878604889,0.12545877695083618
2025-05-18_21-51-32_float_002,float,1.543834539409145,7.594736561619379,1.2137391841958287,20.770758151143163,85.87213972918181,17.215819474870347,338.45431865829505,1662.206697548249,305.5588656034053,0.16705405712127686,0.3433167636394501,0.027346432209014893,0.010491788387298584,0.07245996594429016,0.025905072689056396
2025-05-18_21-51-32_punch_006,punch,1.2145502782512427,5.766239304870111,0.9684993307917367,16.096393881898493,64.67520631786368,13.250507284830771,261.2559648729546,1008.599866424218,199.19973134244404,0.02243182063102722,0.04212135076522827,0.042978763580322266,0.04784369468688965,0.011309295892715454,0.0124969482421875
2025-05-18_21-51-32_float_005,float,1.4520196379766979,3.689183998528239,0.7130607046758972,19.616258286171945,55.79370045798999,9.883720575909102,323.30300690946177,941.3398294118152,187.2020572527456,0.11703678965568542,0.2806503474712372,0.018979042768478394,0.010394155979156494,0.1342567503452301,0.1505637764930725
2025-05-18_21-51-32_punch_001,punch,1.6607392365261724,4.558102906232866,1.0944195155334273,23.213205453009824,74.55905018458016,15.550802613282231,389.8158092762549,1284.0496799544912,263.0040910690956,0.030119359493255615,0.11510950326919556,0.0167081356048584,0.012528479099273682,0.07084214687347412,0.11456513404846191
2025-05-18_21-51-32_punch_007,punch,1.3163381522226323,5.816057659150574,1.1991873882879442,16.798053320606574,60.115998806879986,13.959553635323989,268.3300022673731,1006.2281216173051,210.74754375964272,0.01384696364402771,0.0763704776763916,0.04077383875846863,0.0564875602722168,0.010347843170166016,0.012958347797393799
2025-05-18_21-51-32_float_009,float,1.6309784818267004,4.66215167244197,0.9717432967058948,23.605234494205202,77.1767367263359,14.479774995367375,389.38787329301874,1308.9085294414201,257.3224751305034,0.12421232461929321,0.22232526540756226,0.007462888956069946,0.009512126445770264,0.07896189391613007,0.14135867357254028
2025-05-18_21-51-32_punch_008,punch,1.0503915710755591,4.602669754020198,0.8772997041182931,13.875783570603419,65.74646852909552,11.469746317575154,224.48200086439402,1092.1061029430848,197.3978348769911,0.02419590950012207,0.1026795506477356,0.040791451930999756,0.037018656730651855,0.008496016263961792,0.015702545642852783
2025-05-18_21-51-32_float_006,float,2.078796273757124,8.116647916081686,1.3299054876746796,26.40416556060351,126.954336906437,20.632905398980093,399.2860461573854,1284.5252070147508,238.08437095409232,0.1569051742553711,0.28272545337677,0.008274435997009277,0.007178902626037598,0.1272914856672287,0.12005436420440674
2025-05-18_21-51-32_punch_003,punch,1.2497908179209656,4.714588590231422,0.9442580614074307,14.30344448144371,58.18018050130296,10.271125839158135,215.32619826769707,885.3648842715351,147.98153073195988,0.04132264852523804,0.06853169202804565,0.02535894513130188,0.02168142795562744,0.010873496532440186,0.021933436393737793
2025-05-18_21-51-32_punch_009,punch,1.3269461057027916,5.455705093345392,1.1328695415186938,16.18550565137572,66.02176757508356,13.303466401951766,255.69557712818843,852.4244901627167,187.20288633663895,0.0,0.0,0.04353386163711548,0.04456990957260132,0.010132580995559692,0.012286007404327393
2025-05-18_21-51-32_punch_005,punch,1.4159025527583662,4.511324046069765,0.7152406252853294,16.285664235818842,64.93232118026019,10.434649883112087,255.31362699098872,1064.1353747306644,168.82272354564185,0.037242308259010315,0.04333651065826416,0.054675161838531494,0.0433650016784668,0.006453454494476318,0.011764109134674072
2025-05-18_21-51-32_float_008,float,1.1879382862764833,4.504048685164539,0.7233209408811773,18.66863221885753,53.004461494962676,10.946086526408306,321.68686197681393,1041.2292963917519,196.80460312309506,0.09054884314537048,0.2326183319091797,0.009843140840530396,0.00960075855255127,0.12637609243392944,0.14385080337524414
2025-05-18_21-51-32_float_003,float,1.3098087043532602,4.101237738467978,0.7404654699606181,17.847755637685815,45.07011870543778,9.806733871757933,286.56576218241673,830.1034503450842,140.30832573095617,0.13924863934516907,0.27036139369010925,0.005673885345458984,0.006293535232543945,0.12281905114650726,0.0636339783668518
2025-05-18_21-51-32_float_004,float,1.9039914322845781,7.4250789589208885,1.2561168652612549,27.393929965566667,90.0872385025941,19.252768867105413,439.02960004889303,1577.8627304608353,312.5713094828903,0.12171486020088196,0.2584996521472931,0.009781837463378906,0.010449349880218506,0.10934694111347198,0.10897332429885864
