source,mean_velocity,max_velocity,mean_acceleration,max_acceleration,mean_jerk,max_jerk,std_velocity,std_acceleration,std_jerk,label
float_2025-05-02_14-10-28_pose_overlay_keypoints,2.6423191146500584,12.757191075138069,36.28953583874388,212.7853859662728,588.5233797588684,2125.629526275551,2.5827409296235584,31.888274337300615,408.6505461083727,float
float_2025-05-02_14-09-39_pose_overlay_keypoints,1.987609476869932,9.20468298382362,30.754878870607037,133.48089227735673,541.9807671048549,2266.37202562046,1.5774858458290526,23.706695784845426,397.82743496358125,float
float_2025-05-04_13-35-18_pose_overlay_keypoints,4.4584716749794815,18.279684472142026,66.42856202517962,262.73479517008724,1199.6572542778445,4757.6882083434075,3.5459854669037365,53.759449244311654,951.4141459399201,float
float_2025-05-04_13-34-56_pose_overlay_keypoints,7.326859489575415,22.025231160212442,115.21858301033568,362.3121177151332,2009.0130170644545,6446.405055296018,5.162114656941692,79.46359906752909,1489.2249229901383,float
float_2025-05-01_13-37-10_pose_overlay_keypoints,5.053683426695318,24.1247501478316,78.85829171372387,362.4431272084387,1374.3359832960707,6174.266706989177,3.9634381568708648,60.27442234361951,1025.5281487075843,float
float_2025-05-02_14-09-17_pose_overlay_keypoints,3.0787130549495725,10.847577086982092,46.6285266190173,188.45196198894206,832.7762131566203,2898.2853599090404,1.8829875892844306,32.9428238111572,559.060236427854,float
float_2025-05-02_14-09-30_pose_overlay_keypoints,2.169357611848969,14.239221799448744,32.84531787861227,243.5769320225758,553.4605673073123,2745.889910553195,2.096174766367675,34.23003719133402,481.53814311633573,float
float_2025-05-02_14-08-59_pose_overlay_keypoints,3.4408517679768433,9.087364789587198,54.05512040605224,153.71582841593178,928.2857278441522,2418.944694295929,1.9742074894497383,32.77789728085705,563.592011179942,float
float_2025-04-30_12-07-53_keypoints,3.2457768827549156,15.46560311457864,43.55640817277748,171.02770564608394,734.1641989615564,3152.7464662816,2.6060692184977348,37.66238970894092,602.9534392919431,float
float_2025-05-04_13-35-08_pose_overlay_keypoints,3.5351461566304643,27.2704842154945,56.11567489492505,317.1962522262588,941.1003175115803,5624.961530629674,4.140552688465684,64.66524150121592,1008.0325249479481,float
float_2025-05-02_14-10-09_pose_overlay_keypoints,1.8341151457932718,9.572124234194881,26.5620287745166,133.5881859147025,440.81041947258285,2227.960145917474,1.4569572374962017,20.012233066433325,340.36972087046314,float
float_2025-05-01_13-36-39_pose_overlay_keypoints,4.584967645154926,21.765048512806505,66.43970567555274,502.34426872355226,1091.4086776676077,5743.059337863764,3.848643019754861,63.932887913306395,864.3355501441246,float
float_2025-05-02_14-08-51_pose_overlay_keypoints,2.359600752978789,8.514351832628,36.866043893448236,127.57751908518969,644.4607507464513,2035.3128226198626,1.397190228560015,20.949475579745734,363.90457379500504,float
float_2025-05-01_13-36-49_pose_overlay_keypoints,6.452758318961485,27.18490758865002,97.45801178707235,539.0471576657354,1661.518121466204,9651.542582796485,5.581485846667875,91.50282332670604,1650.3411669712987,float
float_2025-05-04_13-35-49_pose_overlay_keypoints,4.807304240854875,16.736781829102508,75.58460647250497,272.3113667518907,1326.536635906442,4102.873057816673,3.4925802907188577,53.24931944272504,957.6337208337491,float
float_2025-05-01_13-36-58_pose_overlay_keypoints,5.783565468659415,31.65835437279672,84.89510979876748,443.4034662179471,1471.0747298863505,7819.06242249751,5.182656467204496,76.8906262818369,1348.689282631885,float
float_2025-05-04_13-35-29_pose_overlay_keypoints,2.944640544997264,14.762860345175962,45.948159409981436,208.94645219753835,811.7279178947674,3056.289552731968,2.389150411998316,36.30079094121625,600.8633241926087,float
float_2025-05-04_13-35-58_pose_overlay_keypoints,7.067142195198561,25.68271073513237,111.80182306001387,347.8013987453161,1942.568254409339,6825.310804493249,5.024192270398345,78.01395253768281,1378.1913334183466,float
float_2025-04-30_12-08-14_keypoints,2.1192046198737433,19.336159751179387,35.31013819415387,449.2684647805173,584.0297224909123,4648.8730631419685,2.4410204216909923,56.163802407167445,716.1445303733183,float
float_2025-04-30_12-08-02_keypoints,3.3636289924200184,14.708712177415872,47.61373532701811,396.4585927537461,771.8608813959385,4026.6623703097043,2.7808987035903217,56.19502466557948,744.456007943358,float
float_2025-05-02_14-08-40_pose_overlay_keypoints,3.9954077089763307,19.584776286774076,61.26085450002205,264.3688260954321,1073.1119746738382,4517.660876075288,3.597865587090415,50.69225893986384,879.6816878289347,float
