source,label,mean_velocity,max_velocity,std_velocity,mean_acceleration,max_acceleration,std_acceleration,mean_jerk,max_jerk,std_jerk,range_x_right_wrist,range_y_right_wrist,range_x_left_ankle,range_y_left_ankle,range_x_right_ankle,range_y_right_ankle,timestamp
2025-05-18_22-16-08_float_003,float,1.5155279995844737,5.480774238023475,0.90381315605431,20.64538111551728,63.36509254090648,12.531565157849846,362.6161372104629,1102.848062133143,210.7613136941073,0.1539887711405754,0.3541830778121948,0.0105428993701934,0.0115048289299011,0.1160451602190733,0.0357344150543212,2025-05-18_22-16-08
2025-05-18_22-16-08_punch_005,punch,1.9405113497241808,8.691706261123358,1.7763280248038844,23.831152645529716,112.31587727668114,22.29182928340981,370.0079017116063,1597.8848935376031,319.48278980704714,0.0,0.0,0.1022202372550964,0.0765092968940734,0.0495558679103851,0.037150502204895,2025-05-18_22-16-08
2025-05-18_22-16-08_punch_010,punch,1.7668193348115038,7.0171493964517815,1.2917824479826685,23.487402664923053,88.09950985938855,17.94678171389582,396.0141427197964,1554.3495053320937,306.4959176776453,0.0242539644241333,0.0045447945594787,0.0268256515264511,0.1004851460456848,0.0381647944450378,0.0372090935707092,2025-05-18_22-16-08
2025-05-18_22-16-08_punch_008,punch,1.705327877287558,7.379764661222834,1.345313173133045,21.0303406682596,85.8915739183655,15.302767624024687,328.7005265888435,1367.473846592615,243.10370004530023,0.0137243680655956,0.0045587420463562,0.105290874838829,0.0627425909042358,0.057406723499298,0.0334011316299438,2025-05-18_22-16-08
2025-05-18_22-16-08_float_008,float,1.4301115432381706,5.608950315396161,1.164331635375368,18.15571751469737,89.08613011034316,14.590346063501777,304.99101632269094,1267.2392503617148,237.51106442227533,0.0755195096135139,0.3638551533222198,0.0077569484710693,0.022641897201538,0.1037647761404514,0.0335283279418945,2025-05-18_22-16-08
2025-05-18_22-16-08_float_009,float,1.3484990944000137,9.994636472467732,1.493623802901174,17.90191201465653,123.2812702410265,21.2314619878459,280.72564890811907,1685.187029570072,277.7111827701437,0.0738884955644607,0.3183674216270447,0.005076840519905,0.0132564306259155,0.0959565117955207,0.0417243242263793,2025-05-18_22-16-08
2025-05-18_22-16-08_punch_002,punch,1.911664835568084,6.744415872097363,1.154479593067221,23.36427986209992,88.94777822494925,15.408898193819828,379.6583043748788,1490.228244589446,253.9693478497012,0.0282688289880752,0.0086687803268432,0.0979171246290206,0.0808691382408142,0.0730327516794204,0.0392839908599853,2025-05-18_22-16-08
2025-05-18_22-16-08_float_006,float,1.312246728381307,5.384463874246169,0.981065410022152,18.32471431179996,58.76209072887226,12.127059146490602,305.16636118736005,1068.4760367090637,211.14393384713603,0.0768996477127075,0.3033062219619751,0.006341278553009,0.0148109197616577,0.0951332822442054,0.035103440284729,2025-05-18_22-16-08
2025-05-18_22-16-08_punch_004,punch,2.005895388813681,7.08458996568293,1.4801522184900309,25.196004676393933,73.9754982213033,17.541643052335424,402.2492267149064,1316.511425379912,285.3161145127936,0.0,0.0,0.1267456114292144,0.073363184928894,0.097048208117485,0.0506440997123718,2025-05-18_22-16-08
2025-05-18_22-16-08_punch_003,punch,0.9091660992073596,8.057579825610343,1.370135765212,12.727165223185692,91.46614929183266,17.6499605595569,210.87493846800024,1500.4079893372252,291.0912582691496,0.0,0.0,0.0937021374702453,0.0537943840026855,0.0189567506313323,0.0197779536247253,2025-05-18_22-16-08
2025-05-18_22-16-08_float_005,float,1.6659101210223763,5.655398702623223,1.2772642888771917,20.506633221810503,69.56283806411986,16.05477435165501,332.53342891228,1222.267494655637,238.01844035855797,0.1006781086325645,0.2714007794857025,0.0064360946416854,0.0180117487907409,0.0766000747680664,0.0430096983909606,2025-05-18_22-16-08
2025-05-18_22-16-08_punch_007,punch,1.8484568596273936,8.270458314277892,1.3596714388508633,25.41502542150389,81.34779073144763,16.58466539650145,419.6900740287781,1586.2556256385292,253.19566644695607,0.0,0.0,0.0975678712129592,0.0517678260803222,0.1140244603157043,0.0493557453155517,2025-05-18_22-16-08
2025-05-18_21-51-32_punch_002,punch,1.2111811397565424,3.223022415319467,0.7315596876518038,15.794972206037745,40.06760560841424,8.582011827684804,261.4856092037325,712.7601609643933,147.93644479759644,0.0409395396709442,0.1352335810661316,0.0128480195999145,0.014960765838623,0.0504288673400878,0.1025704145431518,2025-05-18_21-51-32
2025-05-18_21-51-32_punch_010,punch,1.775660558645535,7.552522507977048,1.6230535587052504,22.25960423726369,122.88442126170725,22.235094531230413,352.5485123269175,2003.9019096620189,385.1147579170002,0.0112226903438568,0.0986160635948181,0.0467108190059661,0.0697805285453796,0.0123234987258911,0.0124759674072265,2025-05-18_21-51-32
2025-05-18_21-51-32_punch_004,punch,0.8960628576405328,2.4347597612068426,0.5593677119540179,12.200758385253252,35.891934037421095,7.996277989911703,205.8542825221224,638.7670270897014,150.78264891512225,0.0034380406141281,0.0173376202583313,0.0403494536876678,0.0382493734359741,0.0154097974300384,0.0120744109153747,2025-05-18_21-51-32
2025-05-18_21-51-32_float_007,float,1.613373667844063,5.602600934465865,1.020791470697,23.12504904455635,98.61777069817926,16.683490500328247,400.1383274070415,1556.8583395243118,292.9221292063892,0.108459860086441,0.22609543800354,0.003847599029541,0.0106876492500305,0.1294408291578292,0.1741549968719482,2025-05-18_21-51-32
2025-05-18_21-51-32_float_010,float,2.016656800808005,8.361322762102963,1.583380791713064,27.94120252737087,104.55020607938344,21.153346705823992,467.0175814195176,1729.5468051438215,347.9335886737456,0.0962165892124176,0.1981524229049682,0.0119521617889404,0.0160536766052246,0.0709526687860488,0.1254587769508361,2025-05-18_21-51-32
2025-05-18_21-51-32_float_002,float,1.543834539409145,7.594736561619379,1.2137391841958287,20.770758151143163,85.87213972918181,17.215819474870347,338.45431865829505,1662.206697548249,305.5588656034053,0.1670540571212768,0.3433167636394501,0.0273464322090148,0.0104917883872985,0.0724599659442901,0.0259050726890563,2025-05-18_21-51-32
2025-05-18_21-51-32_punch_006,punch,1.2145502782512427,5.766239304870111,0.9684993307917368,16.096393881898493,64.67520631786368,13.250507284830771,261.2559648729546,1008.599866424218,199.19973134244404,0.0224318206310272,0.0421213507652282,0.0429787635803222,0.0478436946868896,0.0113092958927154,0.0124969482421875,2025-05-18_21-51-32
