t_start,t_end,label,peak_prob
48.12,50.72,handsup,0.659
48.38,51.52,handsup,0.834
49.18,52.32,handsup,0.931
49.98,53.12,handsup,0.944
50.78,53.92,handsup,0.798
60.12,62.73,handsup,0.668
60.39,63.53,handsup,0.851
61.19,64.33,handsup,0.914
61.99,65.13,handsup,0.948
62.79,65.93,handsup,0.946
63.59,66.73,handsup,0.602
70.27,72.87,punch,0.616
70.53,73.67,punch,0.611
71.33,74.47,punch,0.630
74.80,77.40,punch,0.636
75.07,78.20,punch,0.728
75.87,79.01,punch,0.686
